generation,best_fitness,mean_fitness,best_mean_score,best_max_tile,best_mean_steps,best_vector
0,11287.84,7734.012,11287.84,2048,672.92,9.94791818 0.86131047 1.41361187 3.76293372 3.02355781 0.09326081 1.37159171
1,11287.84,8985.24,11287.84,2048,672.92,9.94791818 0.86131047 1.41361187 3.76293372 3.02355781 0.09326081 1.37159171
2,11507.28,9871.572000000002,11507.28,2048,690.96,10.06128548 0.93610138 3.53428347 3.49140063 2.89706479 0.09335736 1.12484310
3,11755.44,10194.808,11755.44,2048,707.12,9.63943262 0.97955692 2.69351692 3.74642958 2.05178541 0.09765253 1.49110435
4,12035.2,10648.528,12035.2,2048,718.44,15.39734000 1.12973450 2.85821699 3.59805803 3.07677784 0.09893582 1.09243504
5,12035.2,10708.652,12035.2,2048,718.44,15.39734000 1.12973450 2.85821699 3.59805803 3.07677784 0.09893582 1.09243504
6,12194.4,10963.348,12194.4,2048,720.8,13.05882947 0.83675714 2.88337955 3.48246790 2.00000000 0.10000000 1.12585278
7,12942.64,10926.92,12942.64,2048,764.28,8.80472677 1.02239065 2.71778568 3.74876068 2.26770445 0.09386406 1.50650469
8,12942.64,10824.259999999998,12942.64,2048,764.28,8.80472677 1.02239065 2.71778568 3.74876068 2.26770445 0.09386406 1.50650469
9,12942.64,10952.171999999999,12942.64,2048,764.28,8.80472677 1.02239065 2.71778568 3.74876068 2.26770445 0.09386406 1.50650469
10,13317.04,11139.556,13317.04,2048,784.6,12.27100378 0.85950073 2.89137015 3.55527306 2.74851920 0.09601457 1.02124385
11,14098.0,10875.72,14098.0,2048,819.22,12.27100378 0.85950073 2.89137015 3.55527306 2.73282869 0.09844699 1.02124385
12,14098.0,11192.187999999998,14098.0,2048,819.22,12.27100378 0.85950073 2.89137015 3.55527306 2.73282869 0.09844699 1.02124385
13,14098.0,10618.46,14098.0,2048,819.22,12.27100378 0.85950073 2.89137015 3.55527306 2.73282869 0.09844699 1.02124385
14,14098.0,11128.251999999999,14098.0,2048,819.22,12.27100378 0.85950073 2.89137015 3.55527306 2.73282869 0.09844699 1.02124385
15,14098.0,11063.756000000001,14098.0,2048,819.22,12.27100378 0.85950073 2.89137015 3.55527306 2.73282869 0.09844699 1.02124385
16,14098.0,11357.060000000001,14098.0,2048,819.22,12.27100378 0.85950073 2.89137015 3.55527306 2.73282869 0.09844699 1.02124385
17,14098.0,11577.224,14098.0,2048,819.22,12.27100378 0.85950073 2.89137015 3.55527306 2.73282869 0.09844699 1.02124385
18,14098.0,11397.164,14098.0,2048,819.22,12.27100378 0.85950073 2.89137015 3.55527306 2.73282869 0.09844699 1.02124385
19,14098.0,11139.744000000002,14098.0,2048,819.22,12.27100378 0.85950073 2.89137015 3.55527306 2.73282869 0.09844699 1.02124385
